	q0	q1	q2	densidad	velocidad	presion	t	x
642	1.00982819	1.00982819	3.0049141	1.00982819	1.0	1.000000002	0.0	2.84
643	1.01070655	1.01070655	3.00535327	1.01070655	1.0	0.9999999979999998	0.0	2.86
644	1.01165407	1.01165407	3.00582703	1.01165407	1.0	0.9999999979999996	0.0	2.88
645	1.0126753	1.0126753	3.00633765	1.0126753	1.0	0.9999999999999998	0.0	2.9
646	1.013775	1.013775	3.0068875	1.013775	1.0	0.9999999999999998	0.0	2.92
647	1.01495813	1.01495813	3.00747907	1.01495813	1.0	1.0000000019999997	0.0	2.94
648	1.0162299	1.0162299	3.00811495	1.0162299	1.0	0.9999999999999998	0.0	2.96
649	1.01759571	1.01759571	3.00879786	1.01759571	1.0	1.0000000019999997	0.0	2.98
650	1.01906121	1.01906121	3.0095306	1.01906121	1.0	0.9999999979999998	0.0	3.0
651	1.02063225	1.02063225	3.01031612	1.02063225	1.0	0.9999999979999998	0.0	3.02
652	1.02231491	1.02231491	3.01115746	1.02231491	1.0	1.000000002	0.0	3.04
653	1.02411551	1.02411551	3.01205776	1.02411551	1.0	1.0000000019999997	0.0	3.06
654	1.02604056	1.02604056	3.01302028	1.02604056	1.0	0.9999999999999998	0.0	3.08
655	1.02809679	1.02809679	3.01404839	1.02809679	1.0	0.9999999979999998	0.0	3.1
656	1.03029114	1.03029114	3.01514557	1.03029114	1.0	0.9999999999999998	0.0	3.12
657	1.03263076	1.03263076	3.01631538	1.03263076	1.0	0.9999999999999998	0.0	3.14
658	1.03512297	1.03512297	3.01756148	1.03512297	1.0	0.9999999979999998	0.0	3.16
659	1.03777529	1.03777529	3.01888765	1.03777529	1.0	1.0000000019999997	0.0	3.18
660	1.04059542	1.04059542	3.02029771	1.04059542	1.0	0.9999999999999998	0.0	3.2
661	1.0435912	1.0435912	3.0217956	1.0435912	1.0	0.9999999999999998	0.0	3.22
662	1.04677062	1.04677062	3.02338531	1.04677062	1.0	0.9999999999999998	0.0	3.24
